_id,日期,累计确诊,疑似,死亡,治愈,现有确诊,现有重症,死亡率,治愈率
32,02.13.2020,63932,10109,1381,6728,55823,10204,2.2,10.5
33,02.14.2020,66576,8969,1524,8101,56951,11053,2.3,12.2
34,02.15.2020,68584,8228,1666,9425,57493,11272,2.4,13.7
35,02.16.2020,70635,7264,1772,10853,58010,10644,2.5,15.4
36,02.17.2020,72528,6242,1870,12561,58097,11741,2.6,17.3
37,02.18.2020,74279,5248,2006,14387,57886,11977,2.7,19.4
38,02.19.2020,75002,4922,2121,16157,56386,11864,2.8,21.5
39,02.20.2020,75993,5206,2239,18266,55051,11633,2.9,24.0
40,02.21.2020,76392,5365,2348,20673,53371,11477,3.1,27.1
41,02.22.2020,77041,4148,2445,22907,51689,10968,3.2,29.7
42,02.23.2020,77262,3434,2595,24757,49910,9915,3.4,32.0
43,02.24.2020,77779,2824,2666,27353,47760,9126,3.4,35.2
44,02.25.2020,78190,2491,2718,29775,45697,8752,3.5,38.1
45,02.26.2020,78630,2358,2747,32531,43352,8346,3.5,41.4
46,02.27.2020,78959,2308,2791,36157,40011,7952,3.5,45.8
47,02.28.2020,79389,1418,2838,39049,37502,7664,3.6,49.2
48,02.29.2020,79968,851,2873,41675,35420,7365,3.6,52.1
49,03.01.2020,80174,715,2915,44518,32741,7110,3.6,55.5
50,03.02.2020,80302,587,2946,47260,30096,6806,3.7,58.9
51,03.03.2020,80422,520,2984,49914,27524,6416,3.7,62.1
52,03.04.2020,80565,522,3015,52109,25441,5952,3.7,64.7
53,03.05.2020,80710,482,3045,53793,23872,5737,3.8,66.6
54,03.06.2020,80813,502,3073,55477,22263,5489,3.8,68.6
55,03.07.2020,80859,458,3100,57143,20616,5264,3.8,70.7
56,03.08.2020,80904,421,3123,58684,19097,5111,3.9,72.5
57,03.09.2020,80924,349,3140,59982,17802,4794,3.9,74.1
58,03.10.2020,80955,285,3162,61567,16226,4492,3.9,76.1
59,03.11.2020,80992,253,3173,62887,14920,4257,3.9,77.6
60,03.12.2020,81003,147,3180,64216,13607,4020,3.9,79.3
61,03.13.2020,81021,115,3194,65649,12178,3610,3.9,81.0
62,03.14.2020,81048,113,3204,67022,10822,3226,4.0,82.7
63,03.15.2020,81077,134,3218,67863,9996,3032,4.0,83.7
64,03.16.2020,81116,128,3231,68799,9086,2830,4.0,84.8
65,03.17.2020,81151,119,3242,69725,8184,2622,4.0,85.9
66,03.18.2020,81235,105,3250,70547,7438,2314,4.0,86.8
67,03.19.2020,81300,104,3253,71284,6763,2136,4.0,87.7
68,03.20.2020,81416,106,3261,71876,6013,1963,4.0,88.3
69,03.21.2020,81498,118,3267,72382,5849,1845,4.0,88.8
70,03.22.2020,81600,136,3276,72841,5483,1749,4.0,89.3
71,03.23.2020,81747,132,3283,73299,5165,1573,4.0,89.7
72,03.24.2020,81846,134,3287,73791,4768,1399,4.0,90.2
73,03.25.2020,81960,159,3293,74196,4471,1235,4.0,90.5
74,03.26.2020,82078,189,3298,74737,4043,1034,4.0,91.1
75,03.27.2020,82213,184,3301,75122,3790,921,4.0,91.4
76,03.28.2020,82341,174,3306,75600,3435,742,4.0,91.8
77,03.29.2020,82447,168,3311,75937,3199,633,4.0,92.1
78,03.30.2020,82545,183,3314,76225,3006,528,4.0,92.3
79,03.31.2020,82631,172,3321,76415,2895,466,4.0,92.5
80,04.01.2020,82724,153,3327,76610,2787,429,4.0,92.6
81,04.02.2020,82802,135,3331,76785,2686,379,4.0,92.7
82,04.03.2020,82861,114,3335,76984,2556,331,4.0,92.9
83,04.04.2020,82930,107,3338,77210,2382,295,4.0,93.1
84,04.05.2020,83005,88,3340,77348,2317,265,4.0,93.2
85,04.06.2020,83071,89,3340,77450,2281,211,4.0,93.2
86,04.07.2020,83157,83,3342,77586,2229,189,4.0,93.3
87,04.08.2020,83249,73,3344,77711,2194,176,4.0,93.3
88,04.09.2020,83305,53,3345,77838,2122,144,4.0,93.4
89,04.10.2020,83369,44,3349,77935,2085,141,4.0,93.5
90,04.11.2020,83482,82,3349,78020,2113,139,4.0,93.5
91,04.12.2020,83602,72,3351,78145,2106,121,4.0,93.5
92,04.13.2020,83696,72,3351,78262,2083,116,4.0,93.5
93,04.14.2020,83745,73,3352,78389,2004,113,4.0,93.6
94,04.15.2020,83797,63,3352,78504,1941,95,4.0,93.7
95,04.16.2020,83824,62,3352,78600,1872,89,4.0,93.8
96,04.17.2020,84180,63,4642,77744,1794,85,5.5,92.4
97,04.18.2020,84201,48,4642,77825,1734,85,5.5,92.4
98,04.19.2020,84237,43,4642,77895,1700,81,5.5,92.5
99,04.20.2020,84250,37,4642,77978,1630,82,5.5,92.6
100,04.21.2020,84287,35,4642,78042,1603,78,5.5,92.6
101,04.22.2020,84302,20,4642,78147,1513,63,5.5,92.7
102,04.23.2020,84311,20,4642,78236,1433,57,5.5,92.8
103,04.24.2020,84324,17,4642,78362,1320,49,5.5,92.9
104,04.25.2020,84338,12,4642,78450,1246,51,5.5,93.0
105,04.26.2020,84341,10,4643,78558,1140,52,5.5,93.1
106,04.27.2020,84347,9,4643,78664,1040,50,5.5,93.3
107,04.28.2020,84369,10,4643,78729,997,50,5.5,93.3
108,04.29.2020,84373,10,4643,78785,945,41,5.5,93.4
109,04.30.2020,84385,9,4643,78845,897,38,5.5,93.4
110,05.01.2020,84388,11,4643,78905,840,37,5.5,93.5
111,05.02.2020,84393,10,4643,78939,811,34,5.5,93.5
112,05.03.2020,84400,3,4643,79016,741,33,5.5,93.6
113,05.04.2020,84404,2,4643,79126,635,29,5.5,93.7
114,05.05.2020,84406,5,4643,79204,559,26,5.5,93.8
115,05.06.2020,84409,4,4643,79268,498,23,5.5,93.9
116,05.07.2020,84415,6,4643,79324,448,18,5.5,94.0
117,05.08.2020,84416,8,4643,79401,372,15,5.5,94.1
118,05.09.2020,84430,4,4643,79488,299,13,5.5,94.1
119,05.10.2020,84450,3,4643,79533,274,9,5.5,94.2
120,05.11.2020,84451,3,4644,79566,241,10,5.5,94.2
121,05.12.2020,84458,4,4644,79594,220,10,5.5,94.2
122,05.13.2020,84464,4,4644,79621,199,9,5.5,94.3
123,05.14.2020,84469,4,4644,79644,181,11,5.5,94.3
124,05.15.2020,84478,3,4644,79668,166,11,5.5,94.3
125,05.16.2020,84484,4,4645,79682,157,10,5.5,94.3
126,05.17.2020,84494,4,4645,79701,148,8,5.5,94.3
127,05.18.2020,84500,3,4645,79708,147,10,5.5,94.3
128,05.19.2020,84505,7,4645,79715,145,9,5.5,94.3
129,05.20.2020,84507,7,4645,79722,140,8,5.5,94.3
130,05.21.2020,84520,7,4645,79736,139,8,5.5,94.3
131,05.22.2020,84522,6,4645,79740,137,9,5.5,94.3
132,05.23.2020,84525,9,4645,79746,134,8,5.5,94.3
133,05.24.2020,84536,6,4645,79757,134,7,5.5,94.3
134,05.25.2020,84543,5,4645,79767,131,7,5.5,94.4
135,05.26.2020,84544,6,4645,79774,125,5,5.5,94.4
136,05.27.2020,84547,5,4645,79786,116,4,5.5,94.4
137,05.28.2020,84547,5,4645,79791,111,4,5.5,94.4
138,05.29.2020,84565,5,4645,79802,118,3,5.5,94.4
139,05.30.2020,84570,4,4645,79806,119,3,5.5,94.4
140,05.31.2020,84588,3,4645,79812,131,3,5.5,94.4
141,06.01.2020,84597,2,4645,79824,128,3,5.5,94.4
142,06.02.2020,84602,3,4645,79824,133,2,5.5,94.4
143,06.03.2020,84603,3,4645,79831,127,2,5.5,94.4
144,06.04.2020,84614,2,4645,79842,127,1,5.5,94.4
145,06.05.2020,84620,2,4645,79848,127,1,5.5,94.4
146,06.06.2020,84629,3,4645,79854,130,0,5.5,94.4
147,06.07.2020,84634,4,4645,79865,124,0,5.5,94.4
148,06.08.2020,84638,1,4645,79875,118,0,5.5,94.4
149,06.09.2020,84641,2,4645,79883,113,0,5.5,94.4
150,06.10.2020,84652,1,4645,79888,119,0,5.5,94.4
151,06.11.2020,84659,1,4645,79896,118,0,5.5,94.4
152,06.12.2020,84671,1,4645,79903,123,0,5.5,94.4
153,06.13.2020,84729,2,4645,79906,178,1,5.5,94.3
154,06.14.2020,84778,3,4645,79913,220,2,5.5,94.3
155,06.15.2020,84823,4,4645,79922,256,5,5.5,94.2
156,06.16.2020,84867,7,4645,79926,296,7,5.5,94.2
157,06.17.2020,84903,7,4645,79944,314,9,5.5,94.2
158,06.18.2020,84940,7,4645,79949,346,13,5.5,94.1
159,06.19.2020,84970,11,4645,79963,362,13,5.5,94.1
160,06.20.2020,84997,13,4645,79969,382,15,5.5,94.1
161,06.21.2020,85018,15,4646,79970,402,12,5.5,94.1
162,06.22.2020,85070,15,4646,79983,441,13,5.5,94.0
163,06.23.2020,85098,18,4647,79991,460,12,5.5,94.0
164,06.24.2020,85119,13,4647,79999,473,15,5.5,94.0
165,06.25.2020,85148,10,4648,80007,493,8,5.5,94.0
166,06.26.2020,85172,8,4648,80015,509,8,5.5,93.9
167,06.27.2020,85190,8,4648,80026,516,8,5.5,93.9
168,06.28.2020,85204,10,4648,80044,512,8,5.5,93.9
169,06.29.2020,85227,7,4648,80054,525,7,5.5,93.9
170,06.30.2020,85232,8,4648,80068,516,7,5.5,93.9
171,07.01.2020,85263,5,4648,80087,528,7,5.5,93.9
172,07.02.2020,85278,6,4648,80102,528,8,5.5,93.9
173,07.03.2020,85287,7,4648,80117,522,6,5.4,93.9
174,07.04.2020,85306,7,4648,80144,514,6,5.4,93.9
175,07.05.2020,85320,7,4648,80157,515,6,5.4,93.9
176,07.06.2020,85345,7,4648,80168,529,7,5.4,93.9
177,07.07.2020,85366,6,4648,80192,526,6,5.4,93.9
178,07.08.2020,85399,5,4648,80240,511,5,5.4,94.0
179,07.09.2020,85445,8,4648,80268,529,4,5.4,93.9
180,07.10.2020,85487,8,4648,80293,546,3,5.4,93.9
181,07.11.2020,85522,7,4648,80314,560,3,5.4,93.9
182,07.12.2020,85568,7,4648,80345,575,3,5.4,93.9
183,07.13.2020,85623,5,4649,80376,598,3,5.4,93.9
184,07.14.2020,85677,3,4649,80407,621,3,5.4,93.8
185,07.15.2020,85697,3,4651,80445,601,3,5.4,93.9
186,07.16.2020,85775,3,4651,80476,648,3,5.4,93.8
187,07.17.2020,85857,4,4652,80508,697,3,5.4,93.8
188,07.18.2020,85937,4,4653,80535,749,3,5.4,93.7
189,07.19.2020,86068,4,4653,80579,836,5,5.4,93.6
190,07.20.2020,86152,1,4653,80605,894,7,5.4,93.6
191,07.21.2020,86226,1,4655,80650,921,6,5.4,93.5
192,07.22.2020,86361,4,4655,80685,1021,11,5.4,93.4
193,07.23.2020,86500,2,4656,80738,1106,12,5.4,93.3
194,07.24.2020,86660,2,4657,80782,1221,11,5.4,93.2
195,07.25.2020,86839,3,4659,80849,1331,18,5.4,93.1
196,07.26.2020,87028,3,4659,80899,1470,21,5.4,93.0
197,07.27.2020,87245,1,4663,80906,1676,20,5.3,92.7
198,07.28.2020,87457,1,4664,80957,1836,25,5.3,92.6
199,07.29.2020,87680,2,4665,81034,1981,33,5.3,92.4
200,07.30.2020,87956,2,4666,81120,2170,41,5.3,92.2
201,07.31.2020,88122,2,4668,81227,2227,39,5.3,92.2
202,08.01.2020,88301,2,4672,81348,2281,36,5.3,92.1
203,08.02.2020,88459,4,4676,81459,2324,35,5.3,92.1
204,08.03.2020,88573,5,4679,81554,2340,36,5.3,92.1
205,08.04.2020,88682,3,4683,81675,2324,36,5.3,92.1
206,08.05.2020,88804,2,4684,81858,2262,34,5.3,92.2
207,08.06.2020,88937,3,4687,82033,2217,36,5.3,92.2
208,08.07.2020,89057,7,4688,82230,2139,42,5.3,92.3
209,08.08.2020,89149,6,4688,82410,2051,43,5.3,92.4
210,08.09.2020,89270,7,4693,82566,2011,41,5.3,92.5
211,08.10.2020,89383,3,4696,82688,1999,44,5.3,92.5
212,08.11.2020,89444,3,4699,82883,1862,40,5.3,92.7
213,08.12.2020,89526,4,4704,83083,1739,41,5.3,92.8
214,08.13.2020,89625,5,4707,83253,1665,39,5.3,92.9
215,08.14.2020,89695,3,4708,83407,1580,36,5.2,93.0
216,08.15.2020,89761,3,4710,83559,1492,34,5.2,93.1
217,08.16.2020,89859,4,4710,83648,1501,30,5.2,93.1
218,08.17.2020,89926,3,4710,83737,1479,27,5.2,93.1
219,08.18.2020,89980,2,4712,83858,1410,26,5.2,93.2
220,08.19.2020,90013,2,4713,84027,1273,24,5.2,93.3
221,08.20.2020,90053,0,4716,84122,1215,20,5.2,93.4
222,08.21.2020,90103,1,4716,84254,1133,19,5.2,93.5
223,08.22.2020,90141,3,4717,84372,1052,16,5.2,93.6
224,08.23.2020,90182,2,4718,84446,1018,14,5.2,93.6
225,08.24.2020,90205,2,4718,84516,971,10,5.2,93.7
226,08.25.2020,90239,0,4719,84626,894,7,5.2,93.8
227,08.26.2020,90271,1,4720,84715,836,4,5.2,93.8
228,08.27.2020,90301,3,4722,84799,780,4,5.2,93.9
229,08.28.2020,90323,0,4725,84883,715,4,5.2,94.0
230,08.29.2020,90351,0,4728,84948,675,4,5.2,94.0
231,08.30.2020,90383,0,4729,85005,649,4,5.2,94.0
232,08.31.2020,90402,0,4730,85058,614,3,5.2,94.1
233,09.01.2020,90422,0,4731,85122,569,3,5.2,94.1
234,09.02.2020,90442,0,4734,85169,539,3,5.2,94.2
235,09.03.2020,90475,0,4735,85211,529,3,5.2,94.2
236,09.04.2020,90498,0,4735,85257,506,2,5.2,94.2
237,09.05.2020,90517,2,4735,85314,468,2,5.2,94.3
238,09.06.2020,90551,1,4737,85350,464,2,5.2,94.3
239,09.07.2020,90573,1,4739,85380,454,2,5.2,94.3
240,09.08.2020,90582,6,4740,85411,431,2,5.2,94.3
241,09.09.2020,90595,1,4740,85436,419,2,5.2,94.3
242,09.10.2020,90623,1,4740,85480,403,1,5.2,94.3
