id,name,lng,lat,address,city,province,count,full_address
125,珑景湾小区,118.556358,24.93256,珑景湾小区,泉州市,福建省,1,福建省泉州市鲤城区浮桥街道延陵社区珑景湾小区
126,潘内村顶道坝,118.628922,25.13941,潘内村顶道坝,泉州市,福建省,1,福建省泉州市洛江区马甲镇潘内村顶道坝
127,杏坂社区,118.620865,24.78231,杏坂社区,泉州市,福建省,1,福建省泉州市晋江市新塘街道杏坂社区
128,沙塘社区,118.597733,24.785004,沙塘社区,泉州市,福建省,1,福建省泉州市晋江市新塘街道沙塘社区
129,,118.561378,24.59651,嘉排村,泉州市,福建省,1,福建省泉州市晋江市英林镇嘉排村
130,,118.573624,24.619471,西埔村,泉州市,福建省,1,福建省泉州市晋江市英林镇西埔村
131,泉安中路速8酒店,118.583412,24.809299,泉安中路速8酒店,泉州市,福建省,1,福建省泉州市晋江市梅岭街道泉安中路速8酒店
132,晋南小区,118.583138,24.632277,晋南小区,泉州市,福建省,1,福建省泉州市晋江市英林镇英林村晋南小区
133,万佳东方酒店,118.595688,24.567921,万佳东方酒店,泉州市,福建省,1,福建省泉州市晋江市金井镇万佳东方酒店
134,,118.459267,24.659781,山兜村,泉州市,福建省,1,福建省泉州市晋江市东石镇山兜村
135,,118.606918,24.81802,花厅口村,泉州市,福建省,1,福建省泉州市晋江市陈埭镇花厅口村
136,,118.161377,25.071381,仙苑村,泉州市,福建省,1,福建省泉州市安溪县城厢镇仙苑村
137,,117.962929,25.252769,中洋街,泉州市,福建省,1,福建省泉州市安溪县湖上乡雪山村中洋街
138,安溪清水岩,118.124275,25.122292,安溪清水岩,泉州市,福建省,1,福建省泉州市安溪县安溪清水岩
139,,118.074791,25.022949,恒美村,泉州市,福建省,1,福建省泉州市安溪县官桥镇恒美村
140,上江名都,117.651352,24.50251,上江名都,漳州市,福建省,1,福建省漳州市芗城区上江名都
141,丹霞商贸城,117.672203,24.507641,丹霞商贸城,漳州市,福建省,1,福建省漳州市芗城区丹霞商贸城
142,人民里25号,117.660774,24.507698,人民里25号,漳州市,福建省,1,福建省漳州市芗城区人民里25号
143,巷口社区后港,117.667877,24.509014,巷口社区后港,漳州市,福建省,1,福建省漳州市芗城区巷口社区后港
144,新浦路6号,117.66109,24.50541,新浦路6号,漳州市,福建省,1,福建省漳州市芗城区新浦路6号
145,永鸿国际城,117.623466,24.523855,永鸿国际城,漳州市,福建省,1,福建省漳州市芗城区永鸿国际城
146,福海阳光,117.674088,24.52096,福海阳光,漳州市,福建省,1,福建省漳州市芗城区福海阳光
147,,117.500793,23.73872,城安村,漳州市,福建省,1,福建省漳州市东山县康美镇城安村
148,明发广场,117.807411,24.43498,明发广场,漳州市,福建省,1,福建省漳州市龙海市石码镇明发广场
149,,117.093842,23.87608,楼仔村,漳州市,福建省,1,福建省漳州市诏安县红星乡楼仔村
150,,117.366737,24.06427,圆峰村,漳州市,福建省,1,福建省漳州市云霄县火田镇圆峰村
151,福锦中心广场,117.33654,23.93391,福锦中心广场,漳州市,福建省,1,福建省漳州市云霄县莆美镇福锦中心广场
152,,118.73912,26.53031,长岭村,宁德市,福建省,3,福建省宁德市古田县城西街道长岭村
153,,118.733963,26.541981,大洋坑村,宁德市,福建省,1,福建省宁德市古田县大洋坑村
154,康馨楼,118.723915,26.56883,康馨楼,宁德市,福建省,1,福建省宁德市城西街道康馨楼
155,,117.473022,26.7316,新将北路,三明市,福建省,1,福建省三明市将乐县古镛镇新将北路
156,,117.600983,26.126471,蓬坑村,三明市,福建省,2,福建省三明市三元区莘口镇蓬坑村
157,金色华府,117.363609,25.93548,金色华府,三明市,福建省,1,福建省三明市永安市燕南街道金色华府
158,,117.130142,25.733629,五一村,三明市,福建省,2,福建省永安市小陶镇五一村
159,,117.901787,26.144739,建设村,三明市,福建省,1,福建省三明市尤溪县管前镇建设村
160,鸿图花园,117.785217,26.395041,鸿图花园,三明市,福建省,1,福建省三明市沙县凤岗街道鸿图花园
161,龙湖天成,117.776833,26.413589,龙湖天成,三明市,福建省,1,福建省三明市沙县凤岗街道龙湖天成
