id,name,lng,lat,address,full_address,count
1552,和美小区,114.116745,32.099178,和美小区,河南省信阳市平桥区平西街道南一胡同和美小区,1
1553,金辉花园,114.042839,32.45644,金辉花园,河南省信阳市平桥区明港镇金辉花园,1
1554,河源二号公馆,114.079018,32.14769,河源二号公馆,河南省信阳市平桥区河源二号公馆,1
1555,白高庙小区,114.077377,32.136574,白高庙小区,河南省信阳市平桥区白高庙小区,1
1556,阳光花园,114.118729,32.110779,阳光花园,河南省信阳市平桥区阳光花园,2
1557,凯旋城,114.128471,32.115089,凯旋城,河南省信阳市平桥区龙江路凯旋城,1
1558,万象城彩虹苑,114.127747,32.09383,万象城彩虹苑,河南省信阳市平桥区万象城彩虹苑,1
1559,五里办事处凤台居委会,114.295067,32.14933,五里办事处凤台居委会,河南省信阳市平桥区五里办事处凤台居委会,2
1560,平昌村某家属院,113.885292,32.357845,平昌村某家属院,河南省信阳市平桥区平昌关镇平昌村某家属院,1
1561,长乐园,114.05011,32.463451,长乐园,河南省信阳市平桥区明港镇农工路长乐园,2
1562,,113.931664,32.410069,查山乡街道,河南省信阳市平桥区查山乡街道,1
1563,,114.298721,32.321331,肖王镇街道,河南省信阳市平桥区肖王镇街道,1
1564,,114.107849,32.34013,郭湾村,河南省信阳市平桥区胡店乡郭湾村,1
1565,龙江名邸,114.114616,32.119171,龙江名邸,河南省信阳市平桥区平西街道龙江名邸,1
1566,建设路金水源,114.041267,32.465614,建设路金水源,河南省信阳市平桥区明港镇建设路金水源,1
1567,,114.216789,32.43343,肖店乡齐营村,河南省信阳市平桥区肖店乡齐营村,1
1568,,113.934898,32.404961,五里街道居委会新街,河南省信阳市平桥区五里街道居委会新街,1
1569,,113.889412,32.356258,平昌关镇,河南省信阳市平桥区平昌关镇,1
1570,,113.964828,32.343151,朱庄村,河南省信阳市平桥区朱庄村,1
1571,,113.931664,32.410069,工商路,河南省信阳市平桥区查山乡工商路,1
1572,电管所附近,113.825729,32.482658,电管所附近,河南省信阳市平桥区王岗乡电管所附近,1
1573,,115.250877,31.899139,晏岗村,河南省信阳市潢川县双柳树镇晏岗村,1
1574,,115.06562,32.102375,弋阳街道,河南省信阳市潢川县弋阳街道,1
1575,经济开发区,115.06562,32.102375,经济开发区,河南省信阳市潢川县弋阳街道经济开发区,1
1576,,115.044571,32.142284,春申办事处西关街,河南省信阳市潢川县春申办事处西关街,1
1577,,115.09362,32.1497,八里村,河南省信阳市潢川县谈店乡八里村,1
1578,,115.21843,32.184731,定城办事处县后街,河南省信阳市潢川县长堰村定城办事处县后街,1
1579,,115.21843,32.184731,长堰村,河南省信阳市潢川县黄岗乡长堰村,1
1580,,115.250877,31.899139,晏岗村,河南省信阳市潢川县双柳树店乡晏岗村,1
1581,京五小区,115.053291,32.140781,京五小区,河南省信阳市潢川县定城街道草湖路京五小区,1
1582,草湖路北苑,115.055702,32.146118,草湖路北苑,河南省信阳市潢川县定城街道草湖路北苑,1
1583,,115.093491,32.322762,淮凤村,河南省信阳市潢川县来龙乡淮凤村,2
1584,,115.084717,32.12706,弋阳街道,河南省信阳市潢川县刘靛行村弋阳街道,1
1585,经湖小区,115.053291,32.140781,经湖小区,河南省信阳市潢川县定城街道草湖路经湖小区,1
1586,,115.071938,32.12962,弋阳街道,河南省信阳市潢川县建国新村弋阳街道,1
1587,,115.549362,34.097359,包公庙乡十西村,河南省商丘市睢阳区包公庙乡十西村,2
1588,宇鑫小区,115.660042,34.408489,宇鑫小区,河南省商丘市睢阳区南京路与归德路交叉口宇鑫小区,1
1589,名门城书苑花园,115.648331,34.375671,名门城书苑花园,河南省商丘市睢阳区古宋街道名门城书苑花园,1
1590,振华南苑小区,115.608467,34.348713,振华南苑小区,河南省商丘市睢阳区振华南苑小区,1
1591,长江路与开元路交叉口南,115.661461,34.413021,长江路与开元路交叉口南,河南省商丘市睢阳区长江路与开元路交叉口南,1
1592,,115.587868,34.375938,古宋办事处常路口村,河南省商丘市睢阳区古宋办事处常路口村,1
1593,,115.643532,34.40929,宏昌路附近,河南省商丘市睢阳区东方办事处宏昌路附近,1
1594,牡丹小区,115.683128,34.415298,牡丹小区,河南省商丘市永城市新城区牡丹小区,1
1595,永鑫园东区,116.372162,33.949257,永鑫园东区,河南省商丘市永城市永鑫园东区,1
1596,天齐村西刘店组,116.418549,33.980671,天齐村西刘店组,河南省商丘市永城市演集镇天齐村西刘店组,1
1597,闫各村,116.095963,33.94381,闫各村,河南省商丘市永城市酂城镇夏柏园村闫各村,1
1598,粮管所家属院,116.220551,33.800152,粮管所家属院,河南省商丘市永城市马桥镇粮管所家属院,3
1599,,116.196121,33.787029,闫庙村,河南省商丘市永城市马桥镇闫庙村,1
1600,,116.192207,33.798988,马庄村,河南省商丘市永城市马桥镇马庄村,4
1601,发展广场,116.452522,33.929916,发展广场,河南省商丘市永城市发展广场,1
1602,岚湾国际小区,116.446121,33.937881,岚湾国际小区,河南省商丘市永城市东城区岚湾国际小区,1
1603,,116.418549,33.980671,天齐村,河南省商丘市永城市演集乡天齐村,1
1604,,115.829277,34.449589,高庄村,河南省商丘市虞城县李老家乡高庄村,1
1605,木兰大道木兰小区,115.846718,34.39246,木兰大道木兰小区,河南省商丘市虞城县城关镇木兰大道木兰小区,1
1606,,115.730209,34.206669,魏楼村,河南省商丘市虞城县店集乡魏楼村,1
1607,,115.404022,34.585815,宋胡同村,河南省商丘市宁陵县孔集乡宋胡同村,2
1608,,115.258438,34.309231,温庙村,河南省商丘市宁陵县华堡镇温庙村,1
1609,,115.316597,34.50425,王坡楼村,河南省商丘市宁陵县石桥镇王坡楼村,2
1610,,115.277557,34.393211,胡店村,河南省商丘市宁陵县刘楼乡胡店村,1
1611,,115.273422,34.47023,郭英村,河南省商丘市宁陵县城郊乡郭英村,1
1612,,115.404091,34.585621,宋胡洞东村,河南省商丘市宁陵县孔集乡宋胡洞东村,1
1613,吴庄,115.30544,34.09114,吴庄,河南省商丘市柘城县双河办事处吴庄,1
1614,,115.150841,34.004002,张店村委大史庄,河南省商丘市柘城县安平镇张店村委大史庄,1
1615,,115.206718,34.099659,天门赵村,河南省商丘市柘城县岗王乡天门赵村,2
1616,,115.292061,34.036812,张桥镇张桥,河南省商丘市柘城县张桥镇张桥,1
1617,德育巷,115.319923,34.091404,德育巷,河南省商丘市柘城县春水办事处德育巷,1
1618,兴中道,115.333069,34.082581,兴中道,河南省商丘市柘城县春水街道办事处兴中道,1
1619,,115.133499,34.101929,刘楼小朱庄,河南省商丘市柘城县申桥乡刘楼小朱庄,1
1620,,115.228683,34.028542,后李,河南省商丘市柘城县皇集乡后李,1
1621,,115.298103,34.071312,德育巷,河南省商丘市柘城县城关镇德育巷,1
1622,,115.2948,34.035912,张桥村,河南省商丘市柘城县张桥镇张桥村,1
1623,,115.143669,34.000549,凤凰街道,河南省商丘市柘城县凤凰街道,1
1624,,115.30265,34.037746,张桥镇,河南省商丘市柘城县张桥镇,1
1625,,115.333069,34.082581,春水街道办事处,河南省商丘市柘城县春水街道办事处,2
1626,学苑小区,115.323914,34.085991,学苑小区,河南省商丘市柘城县浦东街道办事处学苑小区,1
1627,,115.121178,34.61977,南华街道东区,河南省商丘市民权县南华街道东区,1
1628,花园吴老家,115.114098,34.597919,花园吴老家,河南省商丘市民权县花园吴老家,1
1629,,116.08107,34.098511,会亭镇杜庄,河南省商丘市夏邑县会亭镇杜庄,1
1630,,116.12969,34.23929,城关一环路骆集路口,河南省商丘市夏邑县城关一环路骆集路口,1
1631,,116.132011,34.23341,闫刘庄村,河南省商丘市夏邑县城关镇闫刘庄村,1
1632,,116.186462,34.216148,许庄,河南省商丘市夏邑县曹集乡许庄,2
1633,,115.995491,34.03231,杨集高庄,河南省商丘市夏邑县杨集高庄,1
1634,,115.980667,34.12175,李营村周楼,河南省商丘市夏邑县罗庄乡李营村周楼,1
1635,,116.012497,34.40678,良种厂村,河南省商丘市夏邑县车站镇良种厂村,1
1636,,116.083549,34.139889,金庄村,河南省商丘市夏邑县郭店乡金庄村,1
1637,,116.08107,34.098511,会亭镇,河南省商丘市夏邑县会亭镇,1
1638,杨堂新村,115.671761,34.45052,杨堂新村,河南省商丘市示范区中州街道杨堂新村,2
1639,黄楼东村,115.688599,34.44442,黄楼东村,河南省商丘市示范区中州街道黄楼东村,1
1640,富贵华庭,115.666451,34.402908,富贵华庭,河南省商丘市示范区平安街道富贵华庭,2
1641,,115.75502,34.453529,孙集村,河南省商丘市示范区张阁镇孙集村,1
1642,,115.591751,34.521389,潘口南街村,河南省商丘市梁园区李庄乡潘口南街村,1
1643,豫立首府,115.669891,34.44479,豫立首府,河南省商丘市梁园区东风街道豫立首府,6
1644,,115.728828,34.57975,中陈村,河南省商丘市梁园区刘口乡中陈村,1
1645,,115.736122,34.557991,中陈村王庄,河南省商丘市梁园区刘口乡中陈村王庄,1
1646,一建公司家属院,115.648529,34.431179,一建公司家属院,河南省商丘市梁园区前进街道一建公司家属院,1
1647,,115.507431,34.58046,张庄村,河南省商丘市梁园区孙付集乡张庄村,1
1648,昆仑路八一新苑,115.612617,34.432838,昆仑路八一新苑,河南省商丘市梁园区平原街道昆仑路八一新苑,1
1649,,115.530251,34.365631,沈庄,河南省商丘市梁园区沈庄,1
1650,,115.665237,34.435669,叶庄南新村,河南省商丘市梁园区白云办事处叶庄南新村,1
